card_name,card_number,card_name_cleaned
Rillaboom,015/202,Rillaboom
Slakoth (#15),15/30,Slakoth (#15)
Raticate,061/110,Raticate
Greedent VMAX,218/264,Greedent VMAX
Code Card - Powers Beyond Tin [Rayquaza EX],,Code Card - Powers Beyond Tin [Rayquaza EX]
Arceus VSTAR (Secret) (184),184/172,Arceus VSTAR (Secret)
Golem,29/132,Golem
Lotad,55/100,Lotad
Eelektross,115/086,Eelektross
Enhanced Hammer (162 Secret Rare),162/160,Enhanced Hammer (Secret Rare)
Code Card - XY Evolutions Elite Trainer Box [Mega Blastoise],,Code Card - XY Evolutions Elite Trainer Box [Mega Blastoise]
Dustox,25/130,Dustox
Venusaur,003/034,Venusaur
Charizard,3/132,Charizard
Sabrina's Mr. Mime,094/132,Sabrina's Mr. Mime
Treecko (Delta Species),68/100,Treecko (Delta Species)
Metal Energy (2017 Unnumbered) (Wave Foil),,Metal Energy (2017 Unnumbered) (Wave Foil)
Silvally GX,SV79/SV94,Silvally GX
Code Card - Pitch Black Pokemon Center Elite Trainer Box Digital Bundle,,Code Card - Pitch Black Pokemon Center Elite Trainer Box Digital Bundle
Typhlosion,32/123,Typhlosion
Agatha (Full Art),186/198,Agatha (Full Art)
Clefable,98/135,Clefable
Mareep,093/147,Mareep
Pikachu (56),56/236,Pikachu
Persian GX (Secret),227/214,Persian GX (Secret)
Onix,084/130,Onix
Zisu (Secret),207/189,Zisu (Secret)
Mirage Stadium,132/144,Mirage Stadium
Arctovish V,048/203,Arctovish V
Psyduck,175/165,Psyduck
Gothorita (Master Ball Pattern),042/086,Gothorita (Master Ball Pattern)
Magnemite - 2004 (Kevin Nguyen),62/97,Magnemite - 2004 (Kevin Nguyen)
Oracle - 2004 (Kevin Nguyen),138/144,Oracle - 2004 (Kevin Nguyen)
Machamp,46/111,Machamp
Mawile,23/110,Mawile
White Kyurem - BW59,BW59,White Kyurem
Raikou EX (105 Full Art),105/108,Raikou EX (Full Art)
Unown [V],089/105,Unown [V]
Gordie,TG24/TG30,Gordie
Ancient Tomb,87,Ancient Tomb
Dark Tyranitar (20) - 2005 (Takashi Yoneda),20/109,Dark Tyranitar (20) - 2005 (Takashi Yoneda)
Klinklang,101/142,Klinklang
Dragonair,52/146,Dragonair
Porygon-Z G,26/99,Porygon-Z G
Magikarp,110,Magikarp
Audino,RC17/RC25,Audino
Surfing Pikachu,28/53,Surfing Pikachu
Galarian Slowking (Cosmos Holo),098/198,Galarian Slowking (Cosmos Holo)
Tauros,062/130,Tauros
Mamoswine,5/102,Mamoswine
Corviknight VMAX,110/163,Corviknight VMAX
Black Belt's Training,255/217,Black Belt's Training
Eevee GX - SM233,SM233,Eevee GX
Togepi,102/135,Togepi
Emboar,26/149,Emboar
Magnemite,053/102,Magnemite
Cinccino,147/202,Cinccino
Frigibax,128/091,Frigibax
Murkrow,46/64,Murkrow
Charizard,143/S-P,Charizard
Dreepy,247/217,Dreepy
Espeon,48/108,Espeon
Gossifleur,SV010/SV122,Gossifleur
Float Stone - 2013 (Yugo Sato),99/116,Float Stone - 2013 (Yugo Sato)
Code Card - Team Up Elite Trainer Box,,Code Card - Team Up Elite Trainer Box
Guzma,115/147,Guzma
Cinccino - SWSH009 (Prerelease),SWSH009,Cinccino (Prerelease)
Bidoof (Peelable Ditto),059/078,Bidoof (Peelable Ditto)
Lapras,56/214,Lapras
Electivire LV.X,121/123,Electivire LV.X
Poliwhirl,46/112,Poliwhirl
Morgrem,SV084/SV122,Morgrem
Sigilyph GX (Full Art),202/214,Sigilyph GX (Full Art)
Metal Energy (Basic),112/114,Metal Energy (Basic)
Magmar,44/109,Magmar
Chespin -  058,058,Chespin
Blissey (Prime),106/123,Blissey (Prime)
Blastoise,003/034,Blastoise
Double Colorless Energy,090/123,Double Colorless Energy
Venonat,090/105,Venonat
Brock's Vulpix,073/132,Brock's Vulpix
Drifloon (Shiny),SH1,Drifloon (Shiny)
Swanna,SV096/SV122,Swanna
Chimecho,17/101,Chimecho
Wobbuffet - 2018 (Magnus Pedersen),RC11/RC32,Wobbuffet - 2018 (Magnus Pedersen)
Ice Rider Calyrex VMAX (Alternate Art Secret),203/198,Ice Rider Calyrex VMAX (Alternate Art Secret)
Hisuian Lilligant V (Alternate Full Art),163/189,Hisuian Lilligant V (Alternate Full Art)
Tornadus GX - SM134,SM134,Tornadus GX
Heat Factory Prism Star - 2019 (Kaya Lichtleitner),178/214,Heat Factory Prism Star - 2019 (Kaya Lichtleitner)
Gyarados,19/100,Gyarados
Magearna EX,75/114,Magearna EX
Ultra Necrozma GX (Full Art),127/131,Ultra Necrozma GX (Full Art)
Latias EX,85/116,Latias EX
Professor Elm's Lecture (Full Art),213/214,Professor Elm's Lecture (Full Art)
Arboliva,104/091,Arboliva
Snubbull,074/111,Snubbull
Clefable (7),007/165,Clefable
Horsea,062/111,Horsea
Code Card - Crimson Invasion Prerelease Kit,,Code Card - Crimson Invasion Prerelease Kit
Dusknoir,070/064,Dusknoir
Tornadus EX - BW96 (Prerelease) [Staff],BW96,Tornadus EX (Prerelease) [Staff]
Wobbuffet,28/92,Wobbuffet
Dracovish V,114/172,Dracovish V
Maushold ex,233/182,Maushold ex
Mary's Request - 2006 (Miska Saari),86/115,Mary's Request - 2006 (Miska Saari)
Quagsire,26/70,Quagsire
Blastoise EX - XY30,XY30,Blastoise EX
Articuno,1/100,Articuno
Houndoom,005/090,Houndoom
Golbat - 2015 (Rowan Stavenow),32/119,Golbat - 2015 (Rowan Stavenow)
Drayton,244/191,Drayton
Life Dew,107/116,Life Dew
Rainbow Energy - 2011 (Ross Cawthon),104/123,Rainbow Energy - 2011 (Ross Cawthon)
Computer Search,071/102,Computer Search
Sceptile,010/106,Sceptile
Kabutops (14),014/144,Kabutops
Dark Pupitar,41/109,Dark Pupitar
Raichu (14),14/62,Raichu
Training Court (Secret),282/264,Training Court (Secret)
Furret,168/159,Furret
Medicham,10/101,Medicham
Lilligant,10/114,Lilligant
Rabsca,215/193,Rabsca
Patrat,152/086,Patrat
Lt. Surge's Pikachu,081/132,Lt. Surge's Pikachu
Dedenne (142),142/214,Dedenne
Noctowl (Master Ball Pattern),078/131,Noctowl (Master Ball Pattern)
Reshiram,113/114,Reshiram
Electivire,54/149,Electivire
Aggron VMAX,097/172,Aggron VMAX
Jolteon GX - SM173 (SM Black Star Promo),SM173,Jolteon GX (SM Black Star Promo)
Zapdos,041/099,Zapdos
Celebi,50/53,Celebi
Shining Volcanion,27/73,Shining Volcanion
Golisopod GX - 2017 (Kabu Fukase),17/147,Golisopod GX - 2017 (Kabu Fukase)
Girafarig,058/111,Girafarig
Shelgon,007/020,Shelgon
Plusle,8/97,Plusle
Blaziken V,020/198,Blaziken V
Bronzong,61/119,Bronzong
Snorlax,50/68,Snorlax
Zweilous (Master Ball Pattern),066/086,Zweilous (Master Ball Pattern)
Bronzong,16/100,Bronzong
Keldeo V,053/202,Keldeo V
Sordward & Shielbert,TG28/TG30,Sordward & Shielbert
Code Card - 2022 World Championship Deck: Ondrej Skubal (ADP),,Code Card - 2022 World Championship Deck: Ondrej Skubal (ADP)
Kyurem V,048/196,Kyurem V
Weedle,1/39,Weedle
Omastar BREAK,19/124,Omastar BREAK
Swirlix,009/012,Swirlix
Sceptile ex,93/95,Sceptile ex
Marowak,61/124,Marowak
Bianca's Devotion,197/162,Bianca's Devotion
Volkner's Philosophy,098/111,Volkner's Philosophy
Pignite,017/114,Pignite
Tapu Koko Prism Star - 2019 (Haruki Miyamoto),51/181,Tapu Koko Prism Star - 2019 (Haruki Miyamoto)
Whimsicott,076/185,Whimsicott
Cornerstone Mask Ogerpon ex,160/131,Cornerstone Mask Ogerpon ex
Swampert,027/100,Swampert
Venture Bomb,93/109,Venture Bomb
Smeargle,TG10/TG30,Smeargle
Gastly,62/100,Gastly
Pachirisu,035/130,Pachirisu
Joltik (Master Ball Pattern),033/086,Joltik (Master Ball Pattern)
Primal Kyogre EX (Alpha - 149 Full Art),149/160,Primal Kyogre EX (Alpha Full Art)
M Altaria EX (Full Art),121/124,M Altaria EX (Full Art)
Toy Catcher (Secret),233/203,Toy Catcher (Secret)
Nidorina,40/64,Nidorina
Alolan Sandslash - SM18 (Prerelease),SM18,Alolan Sandslash (Prerelease)
Lightning Energy (2023),004,Lightning Energy (2023)
Clefairy Doll,070/102,Clefairy Doll
Pikachu - SWSH039,SWSH039,Pikachu
Lt. Surge's Voltorb,086/132,Lt. Surge's Voltorb
Crystal Shard - 2007 (Jeremy Scharff-Kim),76/100,Crystal Shard - 2007 (Jeremy Scharff-Kim)
EXP.ALL,093/105,EXP.ALL
Fairy Energy (#8),8/30,Fairy Energy (#8)
Regirock,53/111,Regirock
Shaymin (Master Ball Pattern),087/131,Shaymin (Master Ball Pattern)
Gyarados,040/192,Gyarados
Bianca,109/113,Bianca
Grass Energy - 2010 (Yuka Furusawa),,Grass Energy - 2010 (Yuka Furusawa)
Virizion V - SWSH295,SWSH295,Virizion V
Jirachi,8/101,Jirachi
Raticate,099/088,Raticate
Energy Switch (Gyarados),21/30,Energy Switch (Gyarados)
Switch (Gyarados),28/30,Switch (Gyarados)
Rayquaza (Energy Symbol Pattern),153/217,Rayquaza (Energy Symbol Pattern)
Wobbuffet,13/123,Wobbuffet
Superior Energy Retrieval,277/193,Superior Energy Retrieval
Jellicent ex,045/086,Jellicent ex
Buizel - DP13,DP13,Buizel
Drampa - SM21 (Prerelease) [Staff],SM21,Drampa (Prerelease) [Staff]
Code Card - ex Battle Deck [Melmetal ex],,Code Card - ex Battle Deck [Melmetal ex]
Garbodor - SWSH025 (Prerelease),SWSH025,Garbodor (Prerelease)
Roserade (15),15/124,Roserade
Archaludon (Cosmos Holo) (EB Games Exclusive),107/142,Archaludon (Cosmos Holo) (EB Games Exclusive)
Meganium (11),011/111,Meganium
Rescue Board,225/167,Rescue Board
Arcanine (H2),H02/H32,Arcanine (H2)
Special Delivery Charizard - SWSH075,SWSH075,Special Delivery Charizard
Deerling,165/162,Deerling
Scyther,4/108,Scyther
No Removal Gym,103/132,No Removal Gym
Mudkip - 018 (Target Promo),018,Mudkip (Target Promo)
M Mawile EX,XY104,M Mawile EX
Steelix (31),031/144,Steelix
Jolteon (H12),H12/H32,Jolteon (H12)
Houndoom (Master Ball Pattern),063/131,Houndoom (Master Ball Pattern)
Max Potion,94/98,Max Potion
Lucario C,31,Lucario C
Double Rainbow Energy,88/100,Double Rainbow Energy
Chimecho - 024 (e-League),024,Chimecho (e-League)
Goodra - 077 [Staff],077,Goodra [Staff]
Team Rocket's Dugtrio,239/217,Team Rocket's Dugtrio
Flutter Mane - 097 (Pokemon Center),097,Flutter Mane (Pokemon Center)
Dragapult ex - 2025 (Jose Cruz Galindo-Resendiz),,Dragapult ex - 2025 (Jose Cruz Galindo-Resendiz)
Grafaiai,190/091,Grafaiai
Shieldon - DP08,DP08,Shieldon
Eevee V - SWSH065 (Eevee Stamped),SWSH065,Eevee V (Eevee Stamped)
Rayquaza EX (Shiny),XY69,Rayquaza EX (Shiny)
Espeon GX - SM35 (SM Black Star Promos),SM35,Espeon GX (SM Black Star Promos)
Mewtwo & Mew GX,71/236,Mewtwo & Mew GX
Greninja GX (Full Art),120/131,Greninja GX (Full Art)
Regirock ex,98/101,Regirock ex
Eevee - BW97,BW97,Eevee
Houndoom,10/95,Houndoom
Klinklang (Team Plasma),90/135,Klinklang (Team Plasma)
Pikachu (German),PW 6,Pikachu (German)
Hitmonchan,24/115,Hitmonchan
Paldean Clodsire ex,244/193,Paldean Clodsire ex
Pupitar (Master Ball Pattern),048/131,Pupitar (Master Ball Pattern)
Wally's Compassion,176/132,Wally's Compassion
Treecko,008/168,Treecko
Victini,023/113,Victini
Wigglytuff ex,040/165,Wigglytuff ex
"Articuno, Moltres, and Zapdos (Warner Bros. Promo)",,"Articuno, Moltres, and Zapdos (Warner Bros. Promo)"
Muk & Alolan Muk GX,61/214,Muk & Alolan Muk GX
Yanmega ex,206/182,Yanmega ex
Code Card - League Battle Deck [Dragapult ex],,Code Card - League Battle Deck [Dragapult ex]
Giratina (Team Plasma),62/135,Giratina (Team Plasma)
Snom,084/264,Snom
Oranguru,SV098/SV122,Oranguru
Hydreigon (97),97/124,Hydreigon
Poke Maniac (Full Art),236/236,Poke Maniac (Full Art)
Garchomp C,060/147,Garchomp C
Lt. Surge's Rattata,085/132,Lt. Surge's Rattata
Litten - 044,044,Litten
Basic Fire Energy - 002 (Cosmos Holo),002,Basic Fire Energy (Cosmos Holo)
Hisuian Zoroark VSTAR,GG56/GG70,Hisuian Zoroark VSTAR
Wigglytuff,019/130,Wigglytuff
Pichu,93/123,Pichu
Gliscor LV.X,141/146,Gliscor LV.X
Raikou V,048/172,Raikou V
Unown (D),D/28,Unown (D)
Dragonite ex,159/197,Dragonite ex
Crystal Beach - 2008 (Paul Atanassov),75/100,Crystal Beach - 2008 (Paul Atanassov)
Team Rocket's Mimikyu,097/217,Team Rocket's Mimikyu
Meowth,121/165,Meowth
Jigglypuff,068/144,Jigglypuff
Raichu & Alolan Raichu GX (Secret),241/236,Raichu & Alolan Raichu GX (Secret)
Zacian V-UNION - SWSH165,SWSH165,Zacian V-UNION
Raichu,049/162,Raichu
Rainbow Brush (Secret),182/168,Rainbow Brush (Secret)
Celebi V,007/198,Celebi V
Azumarill (Alpha),104/160,Azumarill (Alpha)
Tyranitar V,158/264,Tyranitar V
Kangaskhan - 202 (Cosmos Holo),202,Kangaskhan (Cosmos Holo)
Electrike,007/012,Electrike
Lightning Energy (2010 Play! Pokemon),,Lightning Energy (2010 Play! Pokemon)
Houndoom,57/146,Houndoom
Gloom,35/101,Gloom
Melmetal V - SWSH224,SWSH224,Melmetal V
Dialga - DP49,DP49,Dialga
Bewear GX - SM34 (Black Star Promos),SM34,Bewear GX (Black Star Promos)
Rocket's Admin. - 2005 (Jeremy Moran),86/109,Rocket's Admin. - 2005 (Jeremy Moran)
Spidops ex,243/198,Spidops ex
Bulbasaur,067/130,Bulbasaur
Sunflora,38/132,Sunflora
Charizard & Braixen GX (Full Art),212/236,Charizard & Braixen GX (Full Art)
Manaphy,002/017,Manaphy
Professor Juniper - 2012 (Zachary Bokhari),98/108,Professor Juniper - 2012 (Zachary Bokhari)
Dendra,266/193,Dendra
Tornadus,108/113,Tornadus
Meowstic - XY48,XY48,Meowstic
Tyranitar (Prime),88/95,Tyranitar (Prime)
Genesect - XY196,XY196,Genesect
Rhyhorn,091/144,Rhyhorn
Rescue Stretcher - 2017 (Diego Cassiraga),130/145,Rescue Stretcher - 2017 (Diego Cassiraga)
Pikachu (Pokemon Day Stamped),009/017,Pikachu (Pokemon Day Stamped)
Quagsire,22/116,Quagsire
Pansage - BW11,BW11,Pansage
Ivysaur,51/132,Ivysaur
Meganium,003/122,Meganium
Dragapult VMAX (Secret),197/192,Dragapult VMAX (Secret)
Fighting Energy (Prize Pack Series 3) (Cosmos Holo),,Fighting Energy (Prize Pack Series 3) (Cosmos Holo)
Greninja & Zoroark GX (200) (Full Art),200/214,Greninja & Zoroark GX (200) (Full Art)
Sandaconda,082/163,Sandaconda
Zubat,82/109,Zubat
Magikarp,67/112,Magikarp
Vaporeon ex,023/131,Vaporeon ex
Skiploom - 2010 (Yuka Furusawa),65/132,Skiploom - 2010 (Yuka Furusawa)
Serperior ex,164/086,Serperior ex
Combee,059/100,Combee
Gible,106/147,Gible
Solgaleo,142/236,Solgaleo
Snorlax,26/39,Snorlax
Xurkitree - SM116 (Prerelease) [Staff],SM116,Xurkitree (Prerelease) [Staff]
Flareon Star,100/108,Flareon Star
Decidueye,20/236,Decidueye
Geeta,226/197,Geeta
Ledyba (72),072/144,Ledyba
Pichu,012/111,Pichu
Dialga EX (Team Plasma),65/101,Dialga EX (Team Plasma)
White Kyurem (Prerelease),XY128,White Kyurem (Prerelease)
Archaludon,107/142,Archaludon
Water Energy,105/108,Water Energy
Basic Lightning Energy - 004 (Cosmos Holo),004,Basic Lightning Energy (Cosmos Holo)
Wobbuffet (35),35/75,Wobbuffet
Professor Birch's Observations (159 Full Art),159/160,Professor Birch's Observations (Full Art)
Unown [A] (33),33/75,Unown [A]
Silcoon,46/107,Silcoon
Skuntank V (Alternate Full Art),181/195,Skuntank V (Alternate Full Art)
Muk ex,96/97,Muk ex
Tirtouga (Master Ball Pattern),022/086,Tirtouga (Master Ball Pattern)
Charizard ex,183/165,Charizard ex
Silvally GX (Full Art),227/236,Silvally GX (Full Art)
Piloswine,36/64,Piloswine
Corsola - 2007 (Akira Miyazaki),37/115,Corsola - 2007 (Akira Miyazaki)
Rayquaza - SWSH029,SWSH029,Rayquaza
Jolteon ex,030/131,Jolteon ex
Marill,68/100,Marill
Ghetsis (Team Plasma),101/116,Ghetsis (Team Plasma)
Charmander,168/165,Charmander
Mewtwo ex,157/128,Mewtwo ex
Mantine,074/105,Mantine
Welcoming Lantern (Secret),230/198,Welcoming Lantern (Secret)
Giratina - 2017 (Zachary Bokhari),XY184,Giratina - 2017 (Zachary Bokhari)
Volcanion EX (Full Art),107/114,Volcanion EX (Full Art)
Raikou V,GG41/GG70,Raikou V
Chansey,010/012,Chansey
Gabite (89),89/124,Gabite
Wooper,SV9/SV94,Wooper
Code Card - League Battle Deck [Charizard ex],,Code Card - League Battle Deck [Charizard ex]
Noctowl,040/144,Noctowl
Revavroom ex,216/197,Revavroom ex
Porygon,48/82,Porygon
Ultra Necrozma GX,95/131,Ultra Necrozma GX
Beedrill (15) - 2009 (Stephen Silvestro),15/111,Beedrill (15) - 2009 (Stephen Silvestro)
Vulpix,107/123,Vulpix
Flygon,5/132,Flygon
Team Magma's Houndoom,34/95,Team Magma's Houndoom
Alolan Muk,058/149,Alolan Muk
Zubat,88/113,Zubat
Darkness Energy (2010 Play! Pokemon),,Darkness Energy (2010 Play! Pokemon)
Sylveon V,074/203,Sylveon V
Crobat - 2015 (Rowan Stavenow),33/119,Crobat - 2015 (Rowan Stavenow)
Tapu Fini - 2019 (Haruki Miyamoto),53/236,Tapu Fini - 2019 (Haruki Miyamoto)
Riolu,091/127,Riolu
Brock's Scouting - 2025 (Jose Cruz Galindo-Resendiz),,Brock's Scouting - 2025 (Jose Cruz Galindo-Resendiz)
Impostor Professor Oak's Invention,094/105,Impostor Professor Oak's Invention
Magcargo (H16),H16/H32,Magcargo (H16)
Houndoom G,50/127,Houndoom G
Serperior - BW20,BW20,Serperior
Mew,53/108,Mew
Kirlia,154/091,Kirlia
Skarmory,013/111,Skarmory
Skarmory,31/95,Skarmory
Flygon,99/149,Flygon
Scizor,205/197,Scizor
Mega Greninja ex - 081,081,Mega Greninja ex
Winona (108 Full Art),108/108,Winona (Full Art)
Charizard GX,9/68,Charizard GX
Blaziken,3/127,Blaziken
Klara (Secret),217/198,Klara (Secret)
Miraidon - 148 (Duplicate),148,Miraidon (Duplicate)
Teal Mask Ogerpon ex,190/167,Teal Mask Ogerpon ex
Linoone,34/106,Linoone
Dark Celebi,4/101,Dark Celebi
Mawile GX,141/236,Mawile GX
Garchomp,SV40/SV94,Garchomp
Poke Ball - SWSH146,SWSH146,Poke Ball
Marshtomp - 011 (e-League) [Winner],011,Marshtomp (e-League) [Winner]
Minun - HGSS17,HGSS17,Minun
Greavard,042/091,Greavard
Swoobat,120/086,Swoobat
Hex Maniac - 2017 (Naoto Suzuki),75/98,Hex Maniac - 2017 (Naoto Suzuki)
Giant Stump,75/92,Giant Stump
Abra,067/110,Abra
Torterra,008/172,Torterra
Erika's Oddish (78),078/132,Erika's Oddish
Exeggutor,023/110,Exeggutor
Eevee GX - SM242,SM242,Eevee GX
Full Flame - 2006 (Jimmy Ballard),74/92,Full Flame - 2006 (Jimmy Ballard)
N's Plan,170/086,N's Plan
Torkoal,33/110,Torkoal
Chikorita,054/111,Chikorita
Magnemite - 2011 (David Cohen),68/102,Magnemite - 2011 (David Cohen)
Slowpoke,204/198,Slowpoke
Alakazam V (Full Art),172/185,Alakazam V (Full Art)
Lillie's Clefairy ex,076/217,Lillie's Clefairy ex
Rillaboom - SWSH006 (Prerelease) [Staff],SWSH006,Rillaboom (Prerelease) [Staff]
Cyndaquil,61/123,Cyndaquil
Mothim,42/100,Mothim
Victini,015/101,Victini
Duraludon V (Full Art),197/203,Duraludon V (Full Art)
Mew ex - 2006 (Jason Klaczynski),88/92,Mew ex - 2006 (Jason Klaczynski)
Rapid Strike Urshifu VMAX,TG21/TG30,Rapid Strike Urshifu VMAX
Dialga,4/100,Dialga
Pokemon Ranger - 2016 (Cody Walinski),104/114,Pokemon Ranger - 2016 (Cody Walinski)
Fighting Energy (2007-2008 League Promo),,Fighting Energy (2007-2008 League Promo)
Gliscor,81/149,Gliscor
N - 2012 (Zachary Bokhari),96/108,N - 2012 (Zachary Bokhari)
Vileplume (31),031/165,Vileplume
Kricketune,GG02/GG70,Kricketune
Grass Energy - 2005 (Jeremy Maron),,Grass Energy - 2005 (Jeremy Maron)
Vulpix,102/127,Vulpix
Mystery Plate Delta,136/144,Mystery Plate Delta
Eevee (Delta Species) - 2007 (Jun Hasebe),68/113,Eevee (Delta Species) - 2007 (Jun Hasebe)
Wishiwashi GX (Secret),151/145,Wishiwashi GX (Secret)
Lucario,19/95,Lucario
Castform Rain Form,49/146,Castform Rain Form
Vaporeon (Master Ball Pattern),022/131,Vaporeon (Master Ball Pattern)
Rillaboom VMAX,023/264,Rillaboom VMAX
Vulpix,,Vulpix
Galarian Corsola,SV049/SV122,Galarian Corsola
Charizard G,20,Charizard G
Charmeleon,169/165,Charmeleon
Joltik,116/086,Joltik
Suicune & Entei LEGEND (94) - 2011 (Ross Cawthon),94/95,Suicune & Entei LEGEND (94) - 2011 (Ross Cawthon)
Aegislash VMAX (Secret),190/185,Aegislash VMAX (Secret)
Energy Switch,90/112,Energy Switch
Bulbasaur - SM198 (In-Store Event Promo),SM198,Bulbasaur (In-Store Event Promo)
Rayquaza EX - XY69,XY69,Rayquaza EX
Mew VMAX (Alternate Art Secret),269/264,Mew VMAX (Alternate Art Secret)
Zoroark GX (Secret),77/73,Zoroark GX (Secret)
Latios GX (Full Art),223/236,Latios GX (Full Art)
Pheromosa GX (Secret Rare),158/156,Pheromosa GX (Secret Rare)
Erika's Exeggutor,044/132,Erika's Exeggutor
Jasmine's Gaze,233/191,Jasmine's Gaze
Hala (Full Art),143/145,Hala (Full Art)
Chingling,98,Chingling
Hippopotas (Master Ball Pattern),052/131,Hippopotas (Master Ball Pattern)
Cynthia's Gabite (Cosmos Holo),103/182,Cynthia's Gabite (Cosmos Holo)
Darkrai GX,88/147,Darkrai GX
Tyrunt - 070 (Pokemon Center Exclusive),070,Tyrunt (Pokemon Center Exclusive)
Brionne,040/149,Brionne
Gothita (Master Ball Pattern),041/086,Gothita (Master Ball Pattern)
Nidoqueen - SM160 (Prerelease) [Staff],SM160,Nidoqueen (Prerelease) [Staff]
Mewtwo,014/034,Mewtwo
Cacnea,58/100,Cacnea
Steelix,23/100,Steelix
Rapidash - SWSH270 (Prerelease) [STAFF],SWSH270,Rapidash (Prerelease) [STAFF]
Flareon VMAX,018/203,Flareon VMAX
Crobat V,TG20/TG30,Crobat V
Mew EX,46/124,Mew EX
Pokemon Catcher - 2012 (Chase Moloney),95/98,Pokemon Catcher - 2012 (Chase Moloney)
Pikachu V - SWSH063,SWSH063,Pikachu V
Blaziken,28/160,Blaziken
Skitty,41/100,Skitty
Zapdos,023/108,Zapdos
Primeape,43/64,Primeape
Kyogre,6/106,Kyogre
Bravery Charm,175/142,Bravery Charm
Charizard VSTAR,018/172,Charizard VSTAR
Banette ex,85/92,Banette ex
Claydol,5/107,Claydol
Palkia (Shiny),SL8,Palkia (Shiny)
Fighting Energy - 2012 (Igor Costa),,Fighting Energy - 2012 (Igor Costa)
Sneasel,24/64,Sneasel
Pokemon Retriever,84/109,Pokemon Retriever
Sudowoodo,35/123,Sudowoodo
Clefairy (#13),13/30,Clefairy (#13)
Pikachu,112/111,Pikachu
Greninja,117/214,Greninja
Mawile - 039 (Prerelease) [Staff],039,Mawile (Prerelease) [Staff]
Teal Mask Ogerpon ex - 2025 (Yuya Okita),,Teal Mask Ogerpon ex - 2025 (Yuya Okita)
Galarian Zigzagoon,SV078/SV122,Galarian Zigzagoon
Centiskorch VMAX (Secret),191/189,Centiskorch VMAX (Secret)
Beedrill,18/75,Beedrill
Serperior,125/124,Serperior
Oddish,068/111,Oddish
Deoxys Normal Forme,1/146,Deoxys Normal Forme
Charizard,4/102,Charizard
Palkia GX (Full Art),119/131,Palkia GX (Full Art)
Solrock,075/132,Solrock
Professor Elm's Training Method - 2006 (Jason Klaczynski),89/115,Professor Elm's Training Method - 2006 (Jason Klaczynski)
Prinplup,59/127,Prinplup
Pidgeotto - 2006 (Hiroki Yano),45/112,Pidgeotto - 2006 (Hiroki Yano)
Buddy-Buddy Poffin (NAIC Promo),144/162,Buddy-Buddy Poffin (NAIC Promo)
Squirtle,24/135,Squirtle
Falkner,251/193,Falkner
Electrode (Team Plasma) - BW76,BW76,Electrode (Team Plasma)
Scizor V (Full Art),183/189,Scizor V (Full Art)
Kricketune,24/102,Kricketune
Froakie - 2016 (Cody Walinski),38/122,Froakie - 2016 (Cody Walinski)
Mew V,060/159,Mew V
Single Strike Urshifu VMAX,086/163,Single Strike Urshifu VMAX
Marshtomp,67,Marshtomp
Nidorino,054/130,Nidorino
Reshiram,021/099,Reshiram
Metagross ex,95/108,Metagross ex
Toxicroak ex,232/198,Toxicroak ex
Yveltal,95/181,Yveltal
Snorlax V,141/202,Snorlax V
Noivern (#30 - Holo),30/30,Noivern (#30 - Holo)
Teal Mask Ogerpon ex,145/131,Teal Mask Ogerpon ex
Latias - SM135,SM135,Latias
Pikachu,19/68,Pikachu
Manectric EX - 2015 (Patrick Martinez),23/119,Manectric EX - 2015 (Patrick Martinez)
Heatran GX - 2019 (Shintaro Ito),25/236,Heatran GX - 2019 (Shintaro Ito)
Azumarill,18/130,Azumarill
Darkrai,3/100,Darkrai
Gym Badge (Giovanni),XY210,Gym Badge (Giovanni)
